SpeciesID,PC1score,PC2score
2,-1.965849955,-0.620495572
7,-0.383890663,1.226569376
8,2.063166177,-1.639176124
11,0.71341707,0.518801162
12,-1.202751661,2.825274078
14,2.267530684,0.435258264
18,-1.766821001,0.677146948
19,-0.749558524,-0.202721306
25,0.433243756,2.100520268
26,-1.553185331,0.360712163
27,0.829889549,1.118922991
40,-5.440465131,2.1548466
42,-4.98876997,0.496640914
44,-2.284782293,2.119479813
47,-1.657911544,-2.10232921
72,1.731824976,-1.118780914
76,-0.055596238,2.423956014
79,1.652114184,-1.287767072
80,0.413318081,-0.632399382
81,1.923440027,-1.386405433
86,-0.716109905,2.071743964
96,-0.762298279,0.570616657
98,0.865580373,0.415534413
99,0.798353102,2.17812402
102,-4.128788522,-0.095325895
106,2.466541874,-0.134421179
107,0.141578953,-0.216870155
113,-0.100919211,0.634858876
117,-1.161422696,0.605639032
120,0.513779876,0.569308312
127,-2.760136325,2.425723213
128,-0.141877657,-1.029157824
141,-0.877151747,1.725930267
147,-0.661156721,1.16843906
148,1.167763571,1.468891091
149,-1.619400354,-0.95570602
165,-2.504240094,0.968335532
171,0.608369416,0.827546267
175,-4.328637442,-1.266471496
183,1.51425421,-4.653048724
185,1.977845146,-3.733131444
186,-0.057034928,0.174402289
191,-0.7807467,1.326770487
193,1.865280693,0.739336264
199,1.481018795,2.553103945
200,-0.292814366,-0.445863681
206,-1.864570971,-1.841855322
211,0.851089697,-2.762042726
219,1.051243015,1.795927703
223,-0.116001176,-0.006087751
235,-4.432469633,-1.039611644
236,-1.302263437,-0.028538366
238,0.447683322,0.939716336
239,-2.273922527,1.344550724
255,-1.225201641,2.031654309
258,-0.20246296,2.468665631
260,-4.417924323,-0.031226935
264,-2.37959649,0.194081592
266,1.276223011,-1.122270981
267,-2.765408702,0.754331351
268,-0.177075205,0.112121342
273,-1.176801699,-0.124565548
278,-4.561214085,1.011369691
281,-0.279637739,1.818462814
