"SpeciesID","Vi","thetai"
1,5106.10910150961,2.22054746298046
2,7109.52144169841,1.7804997104765
3,1321.85079488715,4.16488232802817
4,4516.53799039894,2.39471948694889
5,9240.9638838851,1.47047243752565
6,5437.02921575055,2.13345237283248
7,9067.66899317736,1.49158880726481
8,4250.72672326217,2.48250977964063
9,3932.46447401196,2.59647922718932
10,2428.8224756983,3.31563614035559
11,6954.27778866765,1.80826780025085
12,4201.57264143625,2.49945406319059
13,6974.29357305396,1.80463908227324
14,6063.5445694789,1.98597798709064
15,2069.9344159783,3.55034178416028
16,5762.34424674154,2.05424478805357
17,3006.27804122397,2.99686426043839
18,3720.99591721623,2.67817451784072
19,5761.9414090357,2.05433923370426
20,4764.39918121867,2.31827338856305
21,5942.58865548602,2.01283998330366
22,1207.28490019886,4.27829358528803
23,4330.3998018661,2.45552773198233
24,6214.08131628993,1.95353170675595
25,7826.6114414935,1.66257005687062
26,10343.4085383825,1.34898065574645
27,3216.91285367834,2.89532770100678
28,7777.07033066965,1.67021272458204
29,5032.07880507752,2.24101386911458
30,8015.90238239721,1.63400140770701
31,4184.77474940049,2.5052977480612
32,2684.6710262442,3.166410143507
33,4808.64464642167,2.30513755139934
34,6101.83203332771,1.97762383815592
35,3611.69140171802,2.7224501124361
36,6194.78190870528,1.95763207640175
37,3803.83007757712,2.64556871567403
38,3667.81974210248,2.69953308520669
39,7104.54807293016,1.78137605661173
40,6968.78987944345,1.80563540988236
41,4338.42823247155,2.45284132102736
42,6208.62317927377,1.95468960446914
43,2235.58395224265,3.43801191312953
44,9358.01139700943,1.45654502344575
45,4804.18450563869,2.30645495208303
46,2609.21699806684,3.20900403856786
47,3367.69060090332,2.82677050883197
48,3935.25152512734,2.59543578697667
49,6000.3512557245,1.99992194621865
50,6193.74919458535,1.95785197301239
51,2371.57157384939,3.35097461748998
52,3064.24254415943,2.96821900986399
53,2382.93988101221,3.34389764661746
54,7114.36978308536,1.77964622473089
55,5904.74755455096,2.02139363184987
56,4230.80147233401,2.48935060226316
57,4249.67452165273,2.48287008557958
58,4268.85043698825,2.47632003932909
59,3883.67822652674,2.61488108648596
60,7128.7335433284,1.77712247271588
61,7703.32217834365,1.68172084331162
62,2833.36990445367,3.08569494045926
63,6708.48444552046,1.85404839457772
64,5472.59585212106,2.12449647241156
